"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g5442","g5442",4.84873018849589,0.0789839736639476,3.29287378379494,0.00143622054294178,0.00722396809034867
"g4812","g4812",1.26304450699468,6.50424310625494,3.28660250312879,0.00144242208968694,0.00725135866874937
"g324","g324",1.78088789231456,-0.206267093654006,3.2865556110803,0.00144259148402734,0.00725135866874937
"g180","g180",4.68770927785496,-0.93847024745626,3.29006513201041,0.00144347924397876,0.00725349477104171
"g22565","g22565",-2.06279563567467,7.13155950073951,-3.28567362894678,0.00144578139945665,0.00726273457489873
"g4703","g4703",1.50564636667259,8.37790412304579,3.2853113854582,0.0014470930919115,0.00726592931597738
"g23238","g23238",-1.43134802566752,1.85321526720424,-3.28524199032753,0.00144734456227151,0.00726592931597738
"g10385","g10385",2.13599308848236,1.96088417106864,3.28507439176869,0.00144795279586775,0.00726665519360717
"g5119","g5119",-1.21438467050021,4.79622325379358,-3.28439351743759,0.00145042262403145,0.00727672016211427
"g11117","g11117",1.90781719179835,0.134296583357324,3.28419055303008,0.00145115990043118,0.00727808931822651
"g9487","g9487",1.38863784623628,7.06400584347681,3.28331214255236,0.00145435475448275,0.00729177929206915
"g18687","g18687",2.31139534316571,2.13676336327302,3.28254993974224,0.00145713672771948,0.00730339108843858
"g1988","g1988",1.76382822032136,6.56674476863175,3.28171997574336,0.00146016296871847,0.00731621937619071
"g18390","g18390",1.49667206591637,2.47203352742087,3.28031141132148,0.00146532004741237,0.0073397127207076
"g17163","g17163",1.87484595814918,4.4723353019262,3.27874819421161,0.00147106393640001,0.00736612941699598
"g17973","g17973",2.90447391447262,-1.71622954466361,3.27854827741252,0.00147198869986245,0.00736840590640185
"g10142","g10142",2.12008693623472,-0.783085222730643,3.27678117032968,0.00147832302678263,0.00739775121288768
"g1416","g1416",2.26851165468908,2.29351527237802,3.27595635227534,0.00148137929291076,0.00741067911196627
"g11026","g11026",1.41839141003023,1.97554148344061,3.2746149773079,0.00148635577895936,0.00743320169866944
"g7102","g7102",1.53763267865052,4.06100799578531,3.27214229746995,0.00149557724065768,0.00747693208702643
"g15476","g15476",1.71735135524863,4.8755895233688,3.27006583992973,0.00150336364973664,0.00751346252625075
"g12033","g12033",1.68011309493168,6.97398957953417,3.26922224638011,0.00150653815323931,0.00752692778951857
"g189","g189",4.71932077157836,-0.746967388979191,3.27230029299329,0.00151010734591917,0.00754235577839104
"g8215","g8215",1.64452628165377,0.626478043369978,3.26798900807595,0.00151119055180967,0.00754536142673237
"g22104","g22104",1.95135831097204,0.695664666090641,3.26707213501171,0.00151465850860196,0.00756026840933713
"g6285","g6285",-1.87886659600411,-1.40383896656943,-3.26381652162823,0.00152703423987235,0.00761961402149611
"g9217","g9217",1.28656469899809,9.28113547636103,3.25833889278641,0.00154807697557853,0.00772209296965735
"g15007","g15007",3.10357535919286,0.505913301546917,3.25833792283959,0.00154855727707733,0.00772209296965735
"g7214","g7214",-1.7290072420346,2.52674320199496,-3.25783541950502,0.00155002507482492,0.00772695387968543
