	A	Coef	t	P.value	F	F.p.value	Results	genes
g12895	4.0467152934704	0.118218489939419	0	0.999999999999924	3.42898437875119	0.0753596174115304	0	g12895
g12896	3.1801389580399	-8.0376729966651	-13.0579889672378	2.79260755132064e-13	222.410401629391	2.55263374960149e-14	-1	g12896
g12897	4.06921407372072	0.204661998162608	0	0.999999999999618	10.9830951695662	0.00269282302247676	0	g12897
g12898	2.57851161200261	-0.889566868406975	0	0.785668948526719	41.9381197717204	7.0234586406457e-07	0	g12898
g12899	0.409501748893047	-7.61638427392617	-11.9702129816972	1.9883550844222e-12	189.8715996394	1.61758672210123e-13	-1	g12899
g1290	6.9075432427119	-0.400005397568898	0	0.999999999932553	46.0279752290289	3.22170888814449e-07	0	g1290
g12900	3.22701800214649	-0.845213670653091	0	0.730879142015542	11.5974663698179	0.00213871711038918	0	g12900
g12901	5.37715787798226	-0.229304605528488	0	0.999999999999955	17.695141788879	0.000268698775933128	0	g12901
g12902	5.36137440652209	0.362690193867249	0	0.999999999999999	88.5267102792164	6.87569098602245e-10	0	g12902
g12903	6.77369404342324	-0.136544270042341	0	1	14.7023954210314	0.000711602454763044	0	g12903
g12905	0.746392797243396	0.907825890069996	0	0.606067693014989	7.16855070592412	0.0126349194265772	0	g12905
g12906	3.81903129784613	-1.41596402495515	-1.50561250337158	0.0720625272788013	26.2675350607587	2.36272668568213e-05	0	g12906
g12907	4.11829619524067	-0.299973074711219	0	0.963919998320392	0.635738226244161	0.432423091456173	0	g12907
g1291	7.4747527516802	0.161643535574123	0	1	25.4015818878262	2.9602189073959e-05	0	g1291
g12910	-2.70978512585445	-6.24077349981756	-10.3243623787082	4.97275208167433e-11	151.151527328247	2.18161951816674e-12	-1	g12910
g12912	3.50793384873596	-0.743265492346214	0	0.999338163912326	108.256472833379	8.43024201617321e-11	0	g12912
g12913	0.864147023818695	-0.247737901790373	0	0.999998406394246	3.76006513994998	0.063327886481653	0	g12913
g12914	2.50465694276081	-1.97630034898541	-3.0876358154385	0.00236306226789391	39.0652983492293	1.25050182367041e-06	-1	g12914
g12915	4.03265286657477	0.0132577101879505	0	1	0.0739899016538923	0.787745119762716	0	g12915
g12916	4.09016003189054	-0.694221893547263	0	0.999887641557092	94.1746957570854	3.6400704054549e-10	0	g12916
g12917	6.62072447940581	-0.45915286086473	0	0.999999999989438	88.7286536100033	6.71746490535153e-10	0	g12917
g12919	4.24888074888128	-0.00995316443617789	0	1	0.0334913441641968	0.856201376001762	0	g12919
g1292	2.46797207667008	-0.190007360819453	0	0.999999996830798	3.89715979270383	0.0589946595564032	0	g1292
g12920	4.35140951684462	-0.697324476537569	0	0.999899378929653	98.8832966621121	2.19123250651482e-10	0	g12920
g12921	4.50545875546491	-0.245423343014489	0	0.999999933578317	5.39345676218485	0.0282404554397744	0	g12921
g12922	3.30149692664569	-0.300922702757518	0	0.999981125881578	4.53686095167659	0.0427229308138403	0	g12922
g12923	7.79628961024424	-0.582751246850076	0	0.999951255169977	41.1004727944005	8.2881046757897e-07	0	g12923
g12924	7.3979331736399	0.468437064452088	0	0.999999999999982	167.838146145102	6.6696310816733e-13	0	g12924
g12926	5.43409097725328	0.424328862238963	0	0.999999999991803	68.4620414826751	8.79183787060343e-09	0	g12926
g12927	5.73435780157037	0.68362612115204	0	0.999989288841157	124.425954915973	1.88149671835186e-11	0	g12927
g12928	0.594565138319445	2.09149060201312	4.77850458654887	2.95954139360309e-05	83.8408838333166	1.19435255976479e-09	1	g12928
g12929	4.65782594371206	-1.06156076922263	-0.632027897786108	0.266421903520003	118.782959683932	3.1148249527297e-11	0	g12929
g1293	6.59781265196808	0.364772321960006	0	1	99.5614126086158	2.04003407613671e-10	0	g1293
g12930	2.53954606855428	-8.01288197326728	-8.95286322408629	9.42760008268393e-10	104.642554115964	1.20842734428439e-10	-1	g12930
g12931	3.44931704938334	-0.281916215597426	0	0.999999999943028	16.2185380262196	0.000430304381337731	0	g12931
g12933	7.23057151798598	1.43193428749596	3.8799802917978	0.000316011120360622	165.451174850214	7.85110189458439e-13	1	g12933
