"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g7956","g7956",-3.39045842087384,2.27753333406352,-6.07526190475486,1.28806752955741e-06,2.49999773412753e-05
"g3153","g3153",5.42000663251702,-0.556739047180973,6.07317595091956,1.29695111135603e-06,2.51463664806765e-05
"g21807","g21807",-3.86523978483139,1.15209205805045,-6.07179543219053,1.29929639231181e-06,2.51658141110063e-05
"g12910","g12910",5.88783384354451,-2.71115404542917,6.07197102517027,1.30253675221757e-06,2.52025403171592e-05
"g12600","g12600",-4.30619516253481,1.83731731014784,-6.06806736223149,1.31161360529807e-06,2.53520035935398e-05
"g22651","g22651",-3.49528063065994,2.49647613888413,-6.06744700222502,1.31334184944259e-06,2.53592650208025e-05
"g16230","g16230",4.70528953969555,1.53718728960539,6.06164803659836,1.33313208945159e-06,2.57149110546583e-05
"g21801","g21801",-3.01036561849577,0.4443817527105,-6.06016828012302,1.33729641659347e-06,2.57687261199497e-05
"g231","g231",2.14895307826317,3.15175483864485,6.05873290613581,1.34207420656704e-06,2.58342395266175e-05
"g1284","g1284",2.97706707910733,0.192300096360095,6.05801240728561,1.34448429800699e-06,2.58540883111109e-05
"g3793","g3793",-3.36342844855772,3.70355467557255,-6.05680453793966,1.34854572120036e-06,2.59056185725261e-05
"g7812","g7812",-3.38545425832661,1.35394680017188,-6.0557484979506,1.35209400182248e-06,2.59471959469496e-05
"g17008","g17008",-3.00893165538754,4.67495278776277,-6.05245052094403,1.36321229015403e-06,2.61338110716747e-05
"g8990","g8990",1.94062921624878,5.72307868384326,6.04758497556763,1.37980822597466e-06,2.64249483440234e-05
"g14837","g14837",-5.05096784663816,1.43650762900129,-6.04564323818589,1.38790653971681e-06,2.65529180746432e-05
"g9771","g9771",-2.34842949812262,3.17415334166954,-6.04378788086584,1.39290552801818e-06,2.65959586331565e-05
"g4068","g4068",-3.78821139220892,4.21359247506457,-6.04378912003122,1.39299329978984e-06,2.65959586331565e-05
"g4831","g4831",-3.28376411323224,4.37298822094339,-6.04303967612483,1.39551629562383e-06,2.66170244421681e-05
"g6110","g6110",1.92625019665693,5.78916607002513,6.04228232055853,1.39813350986487e-06,2.66257598349229e-05
"g5934","g5934",-3.75732218564819,0.460895670987677,-6.04211084241419,1.39881452010236e-06,2.66257598349229e-05
"g2991","g2991",-3.19668868186585,1.47481712254083,-6.03962339767491,1.40742577626365e-06,2.6739483410884e-05
"g6377","g6377",-2.83716686469147,2.06993447536386,-6.03955928052544,1.40764148096125e-06,2.6739483410884e-05
"g3757","g3757",-3.28250969397739,0.367918697114636,-6.03618035389541,1.41954284454871e-06,2.69382680085464e-05
"g23355","g23355",2.36047037544227,6.247269527623,6.03249713504284,1.43260171829639e-06,2.71585941520111e-05
"g269","g269",-3.38743912176597,4.81983762259182,-6.03101034465773,1.43793806898373e-06,2.72322230862383e-05
"g13209","g13209",2.47654501050729,1.33931663023503,6.03000185676087,1.44152871755479e-06,2.72726760095205e-05
"g21501","g21501",2.31244956635048,4.43939570038449,6.02949414222813,1.4433518908509e-06,2.72796417354472e-05
"g5652","g5652",-3.38197777938123,0.459260215434348,-6.02688617183271,1.4527783916713e-06,2.7430153137407e-05
"g19267","g19267",-3.41563169879574,2.2253181327365,-6.02584482649059,1.45655359586236e-06,2.74737659646111e-05
"g20750","g20750",-3.40905504185676,2.51802867175529,-6.02214312037199,1.47004151168299e-06,2.77003098518034e-05
"g13899","g13899",5.213578683595,0.145470894644121,6.02119590754703,1.4754388143795e-06,2.7774098725704e-05
"g13900","g13900",5.9031699223651,1.15384044509405,6.01861544479063,1.48767439957075e-06,2.79763363265317e-05
"g4265","g4265",-2.57011360156487,6.14815728800895,-6.01350903765042,1.50197087842575e-06,2.82168857711468e-05
"g12765","g12765",-4.45894045995708,-1.75722530111424,-6.01017271567006,1.51505620198971e-06,2.84342229540592e-05
"g21783","g21783",5.56755763223548,2.65687384347421,6.00908771208481,1.52186912906927e-06,2.85335243009198e-05
"g11287","g11287",-4.56874038832431,4.94034662193328,-6.00643185778285,1.52938292118273e-06,2.86394399676209e-05
"g16287","g16287",-5.40601687600722,0.142592374515385,-6.00663834798413,1.53057330244579e-06,2.86394399676209e-05
"g7925","g7925",-2.42570140245791,0.892239006932144,-6.00551824171713,1.53217459313551e-06,2.86408189897285e-05
"g18892","g18892",-4.28095000781807,2.60192739650905,-6.00458634134662,1.53611741369237e-06,2.86859217025082e-05
"g18245","g18245",-4.30112524546211,0.286132268381359,-6.00073329662863,1.55095871557545e-06,2.89342536898748e-05
"g1272","g1272",-6.02834799463309,4.51246203995992,-5.9975780484221,1.56851513778338e-06,2.92106150497846e-05
"g16055","g16055",3.24631656557822,7.29564846897304,5.99602176116994,1.56888843965721e-06,2.92106150497846e-05
"g15699","g15699",6.3908905252319,1.39644062940895,5.99724121291582,1.57226745660686e-06,2.92444866507164e-05
"g12690","g12690",-2.74317889214094,2.90999388646498,-5.99205479291593,1.58446769246746e-06,2.94267192833225e-05
"g18572","g18572",6.43774341875187,0.0394130099981944,5.99387958687,1.58587270480013e-06,2.94267192833225e-05
"g22665","g22665",-3.42718963540185,2.24548609000357,-5.99141762282009,1.58701813871067e-06,2.94267192833225e-05
"g452","g452",5.63146117176918,-1.31705912623492,5.99201561214466,1.58834284040335e-06,2.94267192833225e-05
"g6734","g6734",-2.3248731776202,7.1347905714425,-5.98996010955219,1.59276390255256e-06,2.94794969486258e-05
"g2883","g2883",-2.63336009423103,5.81037753835144,-5.9885079220096,1.59854248619519e-06,2.9535356052369e-05
"g22630","g22630",-4.82004175928728,-0.306493281036394,-5.98870168213926,1.59893255070428e-06,2.9535356052369e-05
"g18003","g18003",-3.94488698558912,3.42525411227715,-5.98784802824091,1.60134882027042e-06,2.95381994373449e-05
"g22769","g22769",-4.32455277988097,-2.31497312971618,-5.98769294676407,1.6022373901424e-06,2.95381994373449e-05
"g12757","g12757",5.13908685722912,-1.34215409607562,5.98475296929407,1.61554503096008e-06,2.97542768030162e-05
"g2070","g2070",6.99031328951958,1.81032683688521,5.97973009504186,1.6480618757422e-06,3.03233681141222e-05
"g10787","g10787",-2.73916550317289,1.25493200384371,-5.9757405042948,1.65026887135336e-06,3.03342069303962e-05
"g6207","g6207",-2.696287233991,-0.0679396312356146,-5.97208257801834,1.66539926998069e-06,3.05823417364035e-05
"g5124","g5124",-4.763084420873,7.48866370634798,-5.97113114676981,1.67047064701378e-06,3.06454541691403e-05
"g4832","g4832",-2.92932376265687,5.88803138116533,-5.96844866626906,1.6805727938778e-06,3.08006444891641e-05
"g1307","g1307",2.33307374880038,1.93160591439182,5.96565694728359,1.69231944897497e-06,3.09856419422185e-05
"g4995","g4995",-3.75119716271776,2.02398296650338,-5.96333226057641,1.70227522342118e-06,3.11352919188931e-05
"g20842","g20842",-2.74997347597326,4.89938295914726,-5.96234864511515,1.70635306041622e-06,3.11352919188931e-05
"g17870","g17870",5.5165663258694,1.70709157073497,5.96314141258811,1.70650978323829e-06,3.11352919188931e-05
"g21394","g21394",-1.90262854614387,7.04802401340724,-5.96216474877398,1.70713531882351e-06,3.11352919188931e-05
"g18737","g18737",-3.07260473593285,-0.281824350018635,-5.96118498105788,1.71132331628859e-06,3.11813419408112e-05
"g8391","g8391",-2.41692882020042,4.02944258818243,-5.96042481996687,1.71456628129201e-06,3.12101002018872e-05
"g5721","g5721",-5.76750451182938,7.68694847779375,-5.95956713911455,1.72307432251855e-06,3.13345494402524e-05
"g22888","g22888",-5.57342766077943,0.268857871454639,-5.95813084429985,1.72826546851873e-06,3.13984973539319e-05
"g9821","g9821",-4.84378279817892,3.47435145464129,-5.95495325650935,1.7394980854271e-06,3.15719744469241e-05
"g6143","g6143",6.63157401626288,2.04005965263621,5.9566596967884,1.74215659528923e-06,3.15896460397271e-05
"g7332","g7332",-2.01383175717962,7.87891895086758,-5.95148812613274,1.75325373997192e-06,3.17601491504671e-05
"g5140","g5140",-2.65356133408603,3.23639679402444,-5.94858855374823,1.76599636653463e-06,3.19601021970636e-05
"g22478","g22478",2.40066262530544,3.169831183427,5.94650493374826,1.77521014003371e-06,3.20958678066461e-05
"g2207","g2207",-2.04085409292906,6.38654893248724,-5.94494962202216,1.78211988296601e-06,3.21897549958861e-05
"g10006","g10006",7.46325472171655,1.46509789456577,5.94652017648497,1.7968618944452e-06,3.24247965918701e-05
"g4632","g4632",-3.55777383885421,0.528613589439487,-5.94024549535351,1.80324756894506e-06,3.25068426534738e-05
"g17252","g17252",-5.91696837116036,-1.35705548012767,-5.94121292108473,1.80487616418296e-06,3.25068426534738e-05
"g2439","g2439",3.90646981225775,-0.721138565655678,5.93815368728896,1.81281903772644e-06,3.26185644321814e-05
"g19033","g19033",5.27436206054798,0.461583523625376,5.93115792516969,1.84742823632072e-06,3.32094266565457e-05
"g21920","g21920",-2.13202488208447,5.50869236488343,-5.92941337176862,1.85266019861039e-06,3.3271576689412e-05
"g23542","g23542",-1.87634654289438,3.98558734367192,-5.9281207313824,1.85865550433491e-06,3.3347303397871e-05
"g2825","g2825",-4.02278099204189,-1.11762829669657,-5.92738357232424,1.86234554776825e-06,3.33815646989549e-05
"g5142","g5142",-3.16727017767688,5.71791964218352,-5.92502471828671,1.87310878012041e-06,3.35424226537512e-05
"g10780","g10780",-3.11693945789558,2.72271296614325,-5.92290541399996,1.88305590477272e-06,3.36883732429233e-05
"g3195","g3195",-5.19550277847937,0.84357373286473,-5.92208790131234,1.88949926428385e-06,3.37714220267473e-05
"g22755","g22755",1.52196115153672,6.7474933169905,5.92060155559455,1.8939223021416e-06,3.38182373741455e-05
"g23154","g23154",-6.06516365771847,-1.77929981747132,-5.92056158791056,1.90164001938714e-06,3.39237380813411e-05
"g7101","g7101",-2.55546104098163,3.39918789685959,-5.91630843725924,1.91436232329285e-06,3.41182311781537e-05
"g6583","g6583",-4.64124956628494,0.650095950108275,-5.91568400475695,1.91842079667886e-06,3.41580926086722e-05
"g5287","g5287",-3.24237370789121,3.74826978864552,-5.91393308925562,1.92578701254847e-06,3.42567179300486e-05
"g5019","g5019",4.0150359978272,-3.33805549034622,5.91292888013602,1.93087927772953e-06,3.42917496151019e-05
"g18736","g18736",-3.7825251896708,1.42542274250621,-5.91279134061257,1.93141434708772e-06,3.42917496151019e-05
"g8844","g8844",-4.04266102723851,4.48038503700634,-5.91075351301561,1.94143371304124e-06,3.4434137424478e-05
"g9156","g9156",-3.88876560931235,2.24550514189032,-5.91038864102474,1.94310722679064e-06,3.4434137424478e-05
"g22698","g22698",-4.73107004475858,-1.44141869085683,-5.90976026392655,1.94725234472423e-06,3.44750086980496e-05
"g23519","g23519",-3.23990207242413,1.79951063712041,-5.90604695449958,1.9641494368281e-06,3.47367635222989e-05
"g21024","g21024",6.07042056887167,-0.408299278823254,5.90732549976152,1.96574249811505e-06,3.47367635222989e-05
"g13736","g13736",1.63341725336389,9.16566112609647,5.903607749521,1.97615111100303e-06,3.48878127873783e-05
"g13998","g13998",4.2090265557948,-2.93906681346155,5.90294526134267,1.97987968728842e-06,3.49207565916939e-05
"g8820","g8820",2.08641936453085,3.92772442943745,5.90216855666475,1.983279331613e-06,3.49478422823422e-05
"g10978","g10978",-4.39914526759763,1.2843773776545,-5.90136889642521,1.98794247568449e-06,3.49971206353131e-05
"g5759","g5759",-3.19943080365551,3.09086488248506,-5.90056358500086,1.9912766431963e-06,3.5022932254491e-05
"g18263","g18263",-4.88793372233476,0.709307998488514,-5.90017612705666,1.99492354225696e-06,3.50535313414917e-05
"g10796","g10796",-2.76219120104357,3.89498741066095,-5.89946229643197,1.99675563884544e-06,3.50535313414917e-05
"g8800","g8800",3.59286953326488,-3.51384344162868,5.89776075718011,2.00535435621865e-06,3.51715517537356e-05
"g746","g746",7.1042670417742,2.77422533622084,5.89954084877165,2.01593041354713e-06,3.53083140851303e-05
"g11463","g11463",5.22562249466321,2.83621628912403,5.89603201574422,2.01691846952768e-06,3.53083140851303e-05
"g11114","g11114",5.90452892460453,2.94964518284546,5.89339513307912,2.03421800604607e-06,3.55779416001472e-05
"g1135","g1135",-3.88051210906333,-3.13970025931223,-5.88779218324891,2.0561365058152e-06,3.59277757199713e-05
"g18718","g18718",-5.18703479092862,-1.03402827807712,-5.88765052351181,2.05952966559328e-06,3.59535583800824e-05
"g5289","g5289",-3.60648251995916,1.70846914429206,-5.88639206744326,2.06323935207488e-06,3.59848135926064e-05
"g19613","g19613",2.28867087059563,6.08798608502303,5.88536619342553,2.06845688905604e-06,3.60321958881984e-05
"g7294","g7294",6.1610463406461,-0.628360918605178,5.88688591507713,2.06979972113658e-06,3.60321958881984e-05
"g22957","g22957",-3.86798557147638,1.15771656067636,-5.8845536251775,2.07286758786373e-06,3.60521283904055e-05
"g4954","g4954",-4.22928432577819,2.60823533318747,-5.88226839158943,2.08506739058607e-06,3.62060393063476e-05
"g4992","g4992",-2.71228673938849,3.36746956424551,-5.88207372728859,2.08557909493069e-06,3.62060393063476e-05
"g12069","g12069",-3.07011989068742,0.256591597768911,-5.88124960101168,2.08989580778643e-06,3.624741581886e-05
"g21228","g21228",3.78366928589763,1.75978376315998,5.88007980591702,2.0961737955338e-06,3.63227010096703e-05
"g4379","g4379",-3.646108064327,0.19330688857321,-5.87809951772258,2.10653873452826e-06,3.64686008621148e-05
"g6017","g6017",-2.19839420616148,5.25148756234717,-5.87601596151311,2.11745516119249e-06,3.66237701265664e-05
"g7359","g7359",6.7926177578274,2.52852563185522,5.87568716907157,2.13582524761248e-06,3.68958916703308e-05
"g2511","g2511",2.90210847084977,5.27899766553105,5.87232499576453,2.13712402549359e-06,3.68958916703308e-05
"g20070","g20070",-3.12724643382825,0.129386112879114,-5.87121621838793,2.14307691978459e-06,3.69597145666884e-05
"g15943","g15943",1.65376691795109,6.20824556619881,5.87089961198581,2.14476342463902e-06,3.69597145666884e-05
"g10337","g10337",2.48536771330493,0.530694316703206,5.86280510758068,2.18869964603793e-06,3.76822127305466e-05
"g7842","g7842",2.32214991600479,1.65079560636479,5.85984083045297,2.20501669628376e-06,3.79283101271782e-05
"g19055","g19055",-4.57250479708974,-0.676152737945847,-5.85931433313126,2.20905337484176e-06,3.79629163381376e-05
"g18760","g18760",-5.16123710163502,-1.54556646740915,-5.85828930631203,2.21663965599571e-06,3.80584037639776e-05
"g11466","g11466",8.06891703832417,3.86823518863365,5.86355300503484,2.22441855864242e-06,3.81570206367674e-05
"g4067","g4067",-4.85436305216908,3.91002493503542,-5.85260394095752,2.24728371505769e-06,3.85140058259749e-05
"g19178","g19178",-5.30214741282382,5.88783802794186,-5.84879426514024,2.27073607717215e-06,3.88625661654384e-05
"g22639","g22639",-2.47287807487273,1.03429277295666,-5.84794192927673,2.27176769520084e-06,3.88625661654384e-05
"g21039","g21039",-3.73049122427408,4.41160460754839,-5.84686697612481,2.27804795320928e-06,3.89344768228996e-05
"g10821","g10821",5.48383843312695,1.25432343546669,5.84728979504318,2.28036216904856e-06,3.8938533977679e-05
