"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g6036","g6036",5.81614816810961,2.06511272009358,6.37023410505597,6.23119137054501e-07,1.65714336179218e-05
"g5019","g5019",4.22056825408258,-3.33805549034622,6.36823921861096,6.24811004703947e-07,1.65928916815783e-05
"g4786","g4786",5.7796644975724,-3.67468371827148,6.36235925300092,6.35223125272223e-07,1.68455422570423e-05
"g16810","g16810",-4.80498973425838,1.34184080275144,-6.35664894840075,6.43092673302456e-07,1.70301476437115e-05
"g241","g241",6.57821685937507,1.45799387274879,6.35517195114751,6.48380741894067e-07,1.71459668967163e-05
"g23497","g23497",2.57825454633355,2.1558157779357,6.35123750235864,6.51334881740347e-07,1.71998277433095e-05
"g4851","g4851",6.97817890380851,3.05936371990522,6.35294705978723,6.53245599769727e-07,1.72260221520149e-05
"g16174","g16174",2.2002951737656,3.99482173495145,6.34165386558692,6.66850267339598e-07,1.7560078177458e-05
"g11467","g11467",8.70787865522218,0.347453983845923,6.34709862794959,6.7157165445527e-07,1.76596030145608e-05
"g7465","g7465",4.31416111595183,-2.0368394247129,6.33763822891963,6.73603537945688e-07,1.76882251161677e-05
"g22038","g22038",4.24422414450946,-0.586672931889035,6.33651832486802,6.75438942472096e-07,1.7690990761104e-05
"g2941","g2941",2.20510299140091,5.23826951428088,6.33635134475886,6.75595998983971e-07,1.7690990761104e-05
"g9088","g9088",-2.96632641984734,1.40811782539312,-6.33532028148069,6.77311306109255e-07,1.77111710993618e-05
"g11994","g11994",11.8118895753138,-0.0176045556300779,6.35574401131861,6.83170708987667e-07,1.7839509223969e-05
"g4429","g4429",5.8476953679779,3.39075436392666,6.32911098607686,6.89441325238085e-07,1.79782133614588e-05
"g11197","g11197",1.85147015490015,7.47481462961318,6.32686222126216,6.91539520283552e-07,1.80078812024949e-05
"g4850","g4850",5.77818923821424,1.01867125432806,6.32698560855821,6.92921599811417e-07,1.80188447640281e-05
"g22922","g22922",-3.03626769400341,-0.784971957991513,-6.32502923522331,6.94664975451049e-07,1.80326040436542e-05
"g14949","g14949",-2.77372567076646,2.48686785506785,-6.32461333582672,6.95374298552561e-07,1.80326040436542e-05
"g7913","g7913",5.72661279995033,-3.0858441058854,6.31984992551643,7.0509708434401e-07,1.82594823679086e-05
"g13878","g13878",-2.62674566334934,1.28413534288729,-6.31668999003018,7.09056793831829e-07,1.83366976931765e-05
"g9167","g9167",4.49180148972922,-1.84083822681308,6.31326844778629,7.15273090912907e-07,1.8471976834058e-05
"g6032","g6032",1.59550348655212,6.67277517203137,6.30671221384432,7.2667789240456e-07,1.87406929913248e-05
"g6044","g6044",2.3451201431908,6.6361019680108,6.30588367130118,7.28161051943363e-07,1.87531477512172e-05
"g2511","g2511",3.03699148189203,5.27899766553105,6.3016086787982,7.35864642540097e-07,1.89255503195943e-05
"g20317","g20317",1.88612733814673,4.47037848056707,6.29264843336915,7.52275202579913e-07,1.93211065385901e-05
"g3195","g3195",-5.81999735193985,0.84357373286473,-6.28978629471578,7.59465198070599e-07,1.94790875494195e-05
"g12435","g12435",1.74938025213666,6.19578022146789,6.2868940374308,7.6301158785561e-07,1.9543311831564e-05
"g8439","g8439",2.15896345183209,3.43131844226586,6.28161486808442,7.72998463159827e-07,1.9772098479923e-05
"g8524","g8524",7.78120138972327,1.24860138601355,6.28554959736861,7.75349349985713e-07,1.98052111210928e-05
"g6422","g6422",-2.69395872771604,6.64734428069544,-6.27621276408918,7.83355941627329e-07,1.99825041490759e-05
"g8452","g8452",4.8954768232854,1.39342107692896,6.27167980646658,7.92697415730394e-07,2.01933204450124e-05
"g22469","g22469",1.57071491313051,6.63073190752518,6.26937804558651,7.9666224492133e-07,2.02539787325048e-05
"g10146","g10146",4.70245334404369,1.54521579036487,6.26928165216093,7.97239122331245e-07,2.02539787325048e-05
"g21381","g21381",1.81042959407695,8.9289746096382,6.26787896009137,7.99611458918535e-07,2.02867594631443e-05
"g7289","g7289",2.30431811173479,3.52381177272509,6.26477403735262,8.05755304665841e-07,2.04150083880809e-05
"g8649","g8649",4.18872503979619,-1.71855907503019,6.25630624366597,8.22891992100576e-07,2.08210552765097e-05
"g9115","g9115",-3.02156305552157,2.45650817451599,-6.25516341718898,8.25080563256494e-07,2.08482957958167e-05
"g13321","g13321",4.49814042364278,-3.17629273729504,6.24730891126804,8.41499138472731e-07,2.12345455548119e-05
"g17878","g17878",6.09341254022526,1.57273888759575,6.24269573427609,8.5375557313663e-07,2.15148699472294e-05
"g11372","g11372",6.31353316062546,-1.75444904525769,6.23525206951327,8.7032681298721e-07,2.19030300895264e-05
"g13692","g13692",5.60445368611053,0.402076783457202,6.2329592151713,8.73260245942571e-07,2.19290013824236e-05
"g19587","g19587",1.67218900396979,5.70218979096323,6.23196023058524,8.73698012303078e-07,2.19290013824236e-05
"g6525","g6525",9.76607792464393,0.473434622623617,6.24334699599143,8.77981302532242e-07,2.20070473812527e-05
"g4507","g4507",-3.02758648954985,4.97028268089735,-6.22676168219021,8.84987366371138e-07,2.21530415648765e-05
"g8678","g8678",2.34431167470202,4.74495652440388,6.22015539751508,8.99542682427913e-07,2.24873676704546e-05
"g21676","g21676",-3.35084590199857,6.86244830397802,-6.21961848367612,9.00747482921957e-07,2.24875027394191e-05
"g17660","g17660",5.01999530809648,-2.70205095586484,6.213745780618,9.14696496922224e-07,2.28053784850994e-05
"g8244","g8244",5.39566505164542,-0.554882155562664,6.20485550606702,9.35624135724664e-07,2.32961712094312e-05
