"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g3441","g3441",2.24221452190924,-0.0939160354300413,2.78858410587796,0.00503554925213121,0.0323437865461487
"g18574","g18574",6.69938516485099,0.651424049890837,2.82433892930267,0.0050386802629382,0.0323477966023089
"g6657","g6657",2.46988301445422,-3.59978660023023,2.7882017922172,0.00504034164212766,0.0323477966023089
"g5287","g5287",-1.8427643453489,3.74826978864552,-2.78799264315768,0.0050424306224043,0.0323477966023089
"g17543","g17543",-2.90569994299695,1.77347270410447,-2.78820807825047,0.00504307480231206,0.0323477966023089
"g12852","g12852",-1.53715183971466,3.38360814843954,-2.78719603026407,0.00505180631579983,0.0323927211405373
"g11978","g11978",2.00012813131507,-0.48286611929307,2.78671869179696,0.0050574386262618,0.0324177493346265
"g7103","g7103",-1.97512455598656,-0.86488951679787,-2.7853268005067,0.00507387680282122,0.0325120014272369
"g17919","g17919",1.95856406346125,3.64203613502809,2.78396861276992,0.00508996631609149,0.0326039557432181
"g1185","g1185",1.52500814550958,4.5012412839046,2.7835589468209,0.00509482543336569,0.0326239351264253
"g12518","g12518",-1.84161283078087,4.96087001261769,-2.78212863805503,0.00511183829178303,0.0327216989186207
"g5337","g5337",2.01498415891159,4.87646202618209,2.78171498948834,0.00511677503950055,0.0327421212339917
"g4689","g4689",-1.98186743558921,-0.19232604767424,-2.78128661895096,0.00512188271600576,0.0327563550786841
"g127","g127",-4.78633696071309,-1.4775711796785,-2.79213751295847,0.00512249363116443,0.0327563550786841
"g7092","g7092",-2.99656335137091,-3.67312310270131,-2.7804512301399,0.00513648273799831,0.0328346112699387
"g1150","g1150",3.4035963329684,7.41398460808237,2.78066803721159,0.00514462345955249,0.0328754414598329
"g5934","g5934",-2.49607246209159,0.460895670987677,-2.77891521041717,0.00515071365093534,0.0329031448863328
"g6442","g6442",-2.14572863938683,1.62547815334403,-2.77793083587244,0.00516210823897334,0.0329609360486216
"g2366","g2366",-2.81038553149758,-0.908332368831004,-2.77802047687391,0.00516327639739729,0.0329609360486216
"g9098","g9098",-2.58182954639991,1.6104742565534,-2.77739502386677,0.00516928204255189,0.0329880425513293
"g5536","g5536",2.78917175465566,-4.69904310291426,2.77689120111761,0.00517668235697679,0.033024027734249
"g13168","g13168",-1.92342401657098,3.61767903493284,-2.77574532927024,0.00518841971822852,0.0330771103697621
"g8265","g8265",-1.87205649425056,-0.602669477533697,-2.77573595317576,0.00518853174022456,0.0330771103697621
"g22679","g22679",-2.9980977546386,-3.17306183578565,-2.77314786770527,0.00522471369417718,0.0332964503916138
"g10927","g10927",-2.94105710076772,-2.19584402219349,-2.77228972565127,0.00523426817388187,0.0333460054339487
"g149","g149",-3.78546750344376,-2.28044714706878,-2.77459902733172,0.0052378784974296,0.0333487742027433
"g16914","g16914",-1.61488762809583,2.65836466655532,-2.77163830261472,0.00523826017532024,0.0333487742027433
"g2480","g2480",-2.20030828372665,1.14856943716011,-2.77095098545426,0.00524669987558224,0.0333911663161206
"g21831","g21831",-1.45082796812511,5.50418072875551,-2.77028708682491,0.00525475709391755,0.0334217503557088
"g7293","g7293",-2.16109751265961,5.45505714519053,-2.77026455370075,0.00525507067302947,0.0334217503557088
"g16919","g16919",-1.63694758542197,3.86108041496331,-2.77007806292668,0.00525731344398086,0.0334246760804331
"g4881","g4881",-1.78985119605509,5.865642310881,-2.76863769657707,0.00527496119011124,0.0335255075774223
"g9604","g9604",-1.72188469581863,2.14624599338205,-2.76728544495285,0.00529157971472308,0.0336197316405771
"g18085","g18085",-1.65427215044098,2.24300078452408,-2.76672133467624,0.00529852698353112,0.0336524669424882
"g6673","g6673",2.01475284430707,2.72011878430817,2.76397517156822,0.00533247897426431,0.0338566367383954
