"","genes","logFC","AveExpr","t","P.Value","adj.P.Val"
"g20686","g20686",7.50995857920604,-1.53919477487437,8.34226006877632,6.28783807201757e-09,3.83228110688573e-06
"g5582","g5582",6.42534813741519,-2.52122714658298,8.33728048065657,6.33637603677303e-09,3.83228110688573e-06
"g14658","g14658",6.48235371715735,-2.22815660723058,8.21623220105937,8.28390649383355e-09,4.85359258915266e-06
"g3121","g3121",6.17990760209419,-0.618836877750014,8.17804907595624,9.01224934448879e-09,5.12032311999456e-06
"g19773","g19773",-5.37560701002668,-0.262029222116796,-8.12583407059204,1.01136995937106e-08,5.57711040242591e-06
"g22782","g22782",-4.30611116904545,-3.68578332480764,-8.09034681036446,1.09426993712046e-08,5.72760863591013e-06
"g20085","g20085",6.28715357335988,-2.49687636895536,8.08894511776285,1.09975951193538e-08,5.72760863591013e-06
"g4224","g4224",8.14316766501013,-1.05943673259372,8.05252113896774,1.20151494497755e-08,5.93469872237025e-06
"g20279","g20279",6.3612123809612,-1.82221854770273,8.04903441354069,1.20282975865417e-08,5.93469872237025e-06
"g18233","g18233",6.03616049217223,-2.61263173292592,8.02717585777823,1.26250571370873e-08,6.06941528880127e-06
"g20049","g20049",8.80762777518548,-0.817865743315289,7.96977111932062,1.4533379598531e-08,6.81215835232143e-06
"g20048","g20048",8.81345123297023,-0.808916693247435,7.95005344138607,1.51955760062285e-08,6.94882572050679e-06
"g3541","g3541",-4.35226431550739,1.10435879390269,-7.89262583788774,1.70751241252023e-08,7.62241671960519e-06
"g8364","g8364",4.40014111606972,-3.67511319706898,7.80137311613995,2.10044626934698e-08,9.15843421022942e-06
"g2870","g2870",4.13325472875168,1.61676759817881,7.78792422780365,2.16563041617424e-08,9.22804651655699e-06
"g18640","g18640",-4.08616285752874,-0.440473539664121,-7.76978684874378,2.25698787613836e-08,9.40361459771513e-06
"g17317","g17317",-3.87002390264887,1.29329506450916,-7.68293635842011,2.7524726025402e-08,1.12187193097883e-05
"g4590","g4590",8.27733318952476,-0.634168513675473,7.67048245682625,2.86232396658201e-08,1.14182366062651e-05
"g8501","g8501",3.27739200042791,-1.75623946498867,7.62903657780082,3.11478073296511e-08,1.21664633254923e-05
"g13191","g13191",3.70834178110472,-3.59965306503292,7.5844264717655,3.4515711096503e-08,1.32068381091497e-05
"g2809","g2809",6.61789088155348,-2.19445616297905,7.45121837494249,4.71267467742951e-08,1.76715875054252e-05
"g17760","g17760",4.08078765822785,0.427823021578267,7.37783192533024,5.5715833355394e-08,2.04826697956918e-05
"g18587","g18587",3.65804521090649,-4.1905898192569,7.35243124712465,5.91142453959355e-08,2.10780033271173e-05
"g8819","g8819",-5.84852056347175,-2.49816062703878,-7.34969540792219,5.95836672002355e-08,2.10780033271173e-05
"g18037","g18037",5.07928292170227,-4.07987769938416,7.2856758692759,6.91380448247477e-08,2.40049852299851e-05
"g13953","g13953",6.32293511677871,-3.69151956724346,7.26960188574272,7.1948026010081e-08,2.45264279938729e-05
"g2153","g2153",3.64651013874997,-4.71142934417588,7.2478888165616,7.55061685350767e-08,2.52797348904313e-05
"g5232","g5232",10.9776297160707,0.390216860757181,7.21317219639311,8.50556667015725e-08,2.79773455261015e-05
"g15797","g15797",-8.3624878024913,0.591412121802686,-7.17246069679226,9.13366008562461e-08,2.90975003140581e-05
"g20623","g20623",10.7622387097545,0.0109717965714042,7.17401372223396,9.30740999951958e-08,2.90975003140581e-05
"g13497","g13497",-3.93072631983646,2.23119189734197,-7.158823721239,9.3116967243239e-08,2.90975003140581e-05
"g15798","g15798",-7.37704398921295,0.16657361380936,-7.1338414422987,9.94641002967032e-08,3.04295905332186e-05
"g2736","g2736",6.1140112031216,-3.3678058264453,7.12692967033492,1.00625879410078e-07,3.04295905332186e-05
"g21295","g21295",4.93063670527856,-2.73180665248218,7.08452229841039,1.11041801331516e-07,3.30463925899141e-05
"g10968","g10968",5.8845696755365,-2.24303861905044,6.99749613612031,1.36718293248305e-07,4.00520512517575e-05
"g3814","g3814",-4.36515660153691,0.0825277774623995,-6.92711885139212,1.61415970373791e-07,4.65598158236649e-05
"g12530","g12530",-4.486764834203,-4.01041319380017,-6.86426002013218,1.87617833699828e-07,5.32976782430012e-05
"g354","g354",3.59433190529136,1.52955082281615,6.79978007585065,2.18974223910978e-07,6.07364987726003e-05
"g1162","g1162",4.47866923715073,-3.86857227787487,6.79738638450958,2.20282783963775e-07,6.07364987726003e-05
"g10916","g10916",5.05647822894632,-3.34101751860989,6.73637197909575,2.55258779839096e-07,6.93600994667132e-05
"g13321","g13321",4.57690155642311,-3.17629273729504,6.72447201753711,2.6258919596776e-07,7.03326405028503e-05
"g3201","g3201",3.92091513952591,-1.17310782050045,6.65933986484173,3.07285332336136e-07,8.11449675488763e-05
"g11911","g11911",3.96575221896309,-2.41032973216679,6.63670797763824,3.24602225459423e-07,8.45273211824821e-05
"g1126","g1126",8.76030475396998,-3.03328825672085,6.58875424402599,3.71694562452356e-07,9.5464402074236e-05
"g22271","g22271",4.65728746095525,-3.20013134561818,6.53351939135082,4.17210072606597e-07,0.000104468973762899
"g22863","g22863",8.63938147017642,-2.38996805545462,6.52877435189379,4.29775797063594e-07,0.000104468973762899
"g9195","g9195",-3.90386398673227,-3.25386657645829,-6.52067554204865,4.30335972337144e-07,0.000104468973762899
"g20833","g20833",-3.05297385717847,-0.141743953062878,-6.51197455761964,4.39532550761214e-07,0.000104468973762899
"g15894","g15894",-7.85223223928696,-1.09092956115517,-6.51648236225105,4.40017444808024e-07,0.000104468973762899
"g6525","g6525",8.67913355724659,0.473434622623617,6.51912692622245,4.40186086045605e-07,0.000104468973762899
"g19261","g19261",4.75877143495822,-2.19973946680655,6.48874855253646,4.65368821470839e-07,0.00010906500042196
"g1124","g1124",9.41888364749025,-2.98612545871744,6.47467312565446,4.94431981049353e-07,0.000114445743366596
"g3147","g3147",5.04202494134445,-3.87022887921586,6.41369654576965,5.59275658029468e-07,0.000127876333077982
"g3671","g3671",3.90141852499856,-3.8058004169837,6.39069975784596,5.91264574134128e-07,0.000133561680728202
"g9541","g9541",4.2610659387687,-2.41046458135792,6.37747680238919,6.10818494302721e-07,0.000136336142258116
"g11372","g11372",5.98758890739308,-1.75444904525769,6.32573318389556,6.95485999264638e-07,0.000153407847061326
"g5248","g5248",-4.69247319468496,-0.13016525991191,-6.30403532092079,7.31822092349868e-07,0.000159545725691485
"g20735","g20735",4.99685185281321,-3.74182509784255,6.24788850504206,8.40708750702959e-07,0.000181177567435975
"g3239","g3239",9.66743978156203,0.379111544677392,6.23844328715447,8.87667024653593e-07,0.000189123511877616
"g4593","g4593",4.63006993832054,-2.65478592467052,6.19764039065397,9.51436324431614e-07,0.000200432355581667
"g10279","g10279",4.71916858159545,5.31976555932997,6.18022092593949,9.93411608606824e-07,0.000206949713886326
"g10961","g10961",6.09641022933289,-2.40948012486808,6.15604916122755,1.05789302394114e-06,0.000215403807914639
"g2805","g2805",7.15442683868839,-1.63391767598048,6.15483395194197,1.06675847705047e-06,0.000215403807914639
"g18588","g18588",4.09909925687453,-2.65353997623433,6.15064808537762,1.06845987178311e-06,0.000215403807914639
"g1127","g1127",9.20496944109008,-2.97007432432182,6.13257560169125,1.14850696919616e-06,0.000229078267717647
"g8581","g8581",-3.90281291488269,-3.81339357006345,-6.11261691540238,1.1740443589974e-06,0.000231301707999257
"g17199","g17199",-3.26550937600292,3.35979720614218,-6.1090711181054,1.18432790911135e-06,0.000231301707999257
"g11595","g11595",4.05884980701604,-3.17718893260373,6.09648143293635,1.22207722621646e-06,0.000236213669219922
"g11727","g11727",7.41418951408891,-1.67115345682405,6.07105106693187,1.31612645572141e-06,0.000250268902186223
"g6067","g6067",5.54593716249297,-1.80987258301527,6.06576040733516,1.32149028302502e-06,0.000250268902186223
"g20011","g20011",4.10082140120083,-3.41094975879408,6.05501366875735,1.35475517652656e-06,0.000254003048046965
"g4800","g4800",3.56342909100827,-1.66365605958283,6.00992347406499,1.5154977015575e-06,0.000279067305580073
"g1157","g1157",-2.05921126031726,1.26202786246345,-6.00919340203547,1.51820711340164e-06,0.000279067305580073
"g7913","g7913",5.00348246057238,-3.0858441058854,5.98998971785727,1.5942142837227e-06,0.000290193433063271
"g23417","g23417",6.17318417201815,-2.34025751359881,5.91187006252489,1.94434573442024e-06,0.000350524405525433
"g23148","g23148",-2.35978625788583,6.97856236347228,-5.80960691647071,2.50109189628882e-06,0.000443344916621251
"g13495","g13495",-3.43713122232998,1.62898151291483,-5.80875488111721,2.50651027584685e-06,0.000443344916621251
"g10800","g10800",-4.24593009867223,-0.542078469835842,-5.78727096318577,2.64611829194231e-06,0.000463664222949779
"g6388","g6388",-4.66867050434852,-4.23634661976023,-5.74214361556015,2.96523004310485e-06,0.000514769426649749
"g20946","g20946",7.79972286220731,-2.58496201873437,5.67270419411815,3.5904106939338e-06,0.00060847158679449
"g17908","g17908",8.6866722987688,-2.89769688576848,5.67600076094334,3.59494035148196e-06,0.00060847158679449
