"","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale","gene"
"g10467",0,0,0,0,0,"g10467"
"g10468",0,0,0,0,0,"g10468"
"g10469",0,0,0,0,0,"g10469"
"g1047",0,0,0,0,0,"g1047"
"g10470",0,-1,-1,0,-1,"g10470"
"g10471",-1,0,0,0,0,"g10471"
"g10472",0,1,1,0,1,"g10472"
"g10473",0,0,0,0,-1,"g10473"
"g10474",0,0,0,0,0,"g10474"
"g10475",0,0,0,0,0,"g10475"
"g10476",0,0,0,0,0,"g10476"
"g10477",0,0,0,0,0,"g10477"
"g10478",0,0,0,0,0,"g10478"
"g10479",0,0,0,0,0,"g10479"
"g1048",0,0,0,0,0,"g1048"
"g10480",0,0,0,0,0,"g10480"
"g10483",0,0,0,0,0,"g10483"
"g10488",0,0,0,0,0,"g10488"
"g10489",0,0,0,0,0,"g10489"
"g1049",0,0,0,0,0,"g1049"
"g10490",0,0,0,0,0,"g10490"
"g10491",0,0,0,0,0,"g10491"
"g10492",0,0,0,0,0,"g10492"
"g10495",0,0,0,0,0,"g10495"
"g10497",0,0,0,0,0,"g10497"
"g10498",0,0,0,0,0,"g10498"
"g10499",0,0,0,0,0,"g10499"
"g105",0,0,0,0,0,"g105"
"g1050",0,0,0,0,0,"g1050"
"g10500",0,0,0,0,0,"g10500"
"g10503",0,0,0,0,0,"g10503"
"g10506",0,0,0,0,0,"g10506"
"g10507",0,0,0,0,0,"g10507"
"g10508",0,0,0,0,0,"g10508"
"g1051",0,0,0,0,0,"g1051"
"g10511",0,-1,-1,0,-1,"g10511"
"g10512",0,-1,0,0,-1,"g10512"
"g10513",0,-1,-1,0,-1,"g10513"
"g10519",0,0,0,0,0,"g10519"
"g1052",0,0,0,0,0,"g1052"
"g10523",0,0,0,0,-1,"g10523"
"g10524",0,-1,-1,0,0,"g10524"
"g10525",0,0,0,0,0,"g10525"
"g10527",0,1,0,0,1,"g10527"
"g10528",0,-1,0,0,-1,"g10528"
"g1053",0,0,0,0,0,"g1053"
"g10533",0,0,0,0,0,"g10533"
"g10534",0,0,0,0,0,"g10534"
"g10535",0,1,1,0,1,"g10535"
"g10536",0,0,0,0,0,"g10536"
"g1054",0,0,0,0,0,"g1054"
"g10540",0,0,0,0,0,"g10540"
"g10542",0,0,0,0,0,"g10542"
"g10544",0,-1,-1,0,-1,"g10544"
"g10545",0,-1,0,0,-1,"g10545"
"g10546",0,-1,0,0,0,"g10546"
"g10547",0,0,0,0,0,"g10547"
"g10548",0,0,0,0,0,"g10548"
"g10549",0,0,0,0,0,"g10549"
"g1055",0,0,0,0,0,"g1055"
"g10552",0,0,1,0,0,"g10552"
"g10554",0,0,0,0,0,"g10554"
"g10555",0,1,1,0,1,"g10555"
"g10556",0,1,1,0,1,"g10556"
"g10557",0,1,1,0,1,"g10557"
"g10558",0,0,0,0,0,"g10558"
"g10559",0,0,0,0,0,"g10559"
"g1056",0,0,0,0,0,"g1056"
"g10560",0,0,0,0,0,"g10560"
"g10561",0,0,0,0,0,"g10561"
"g10562",0,0,0,0,0,"g10562"
"g10563",0,-1,-1,0,-1,"g10563"
"g10564",0,-1,-1,0,-1,"g10564"
"g10565",0,0,0,0,0,"g10565"
"g10566",0,0,0,0,0,"g10566"
"g10567",0,0,0,0,0,"g10567"
"g10568",0,0,0,0,0,"g10568"
"g10569",0,0,0,0,0,"g10569"
"g1057",0,0,0,0,0,"g1057"
"g10571",0,0,0,0,0,"g10571"
"g10572",0,0,0,0,0,"g10572"
"g10573",0,0,0,0,0,"g10573"
"g10574",0,0,0,0,0,"g10574"
"g10575",0,1,1,0,1,"g10575"
"g10576",0,0,0,0,0,"g10576"
"g10577",0,0,0,0,0,"g10577"
"g10578",0,0,0,0,0,"g10578"
"g10579",0,0,0,0,0,"g10579"
"g1058",0,0,0,0,0,"g1058"
"g10580",0,0,0,0,0,"g10580"
"g10581",0,0,0,0,0,"g10581"
"g10582",0,0,0,0,0,"g10582"
"g10583",0,0,0,0,0,"g10583"
"g10584",0,0,0,0,0,"g10584"
"g10585",0,0,0,0,0,"g10585"
"g10587",0,1,1,0,1,"g10587"
"g10589",0,0,0,0,0,"g10589"
"g1059",0,0,0,0,0,"g1059"
"g10590",0,0,0,0,0,"g10590"
"g10591",0,0,0,0,0,"g10591"
"g10592",0,0,0,0,0,"g10592"
"g10594",0,0,0,0,0,"g10594"
"g10595",0,0,0,0,0,"g10595"
"g10596",0,0,0,0,0,"g10596"
"g10597",0,0,0,0,0,"g10597"
"g10598",0,0,0,0,0,"g10598"
"g10599",0,0,0,0,0,"g10599"
"g106",0,0,0,0,0,"g106"
"g1060",1,0,1,1,0,"g1060"
"g10600",0,0,0,0,0,"g10600"
"g10601",0,0,0,0,0,"g10601"
"g10602",0,0,0,0,0,"g10602"
"g10604",0,0,0,0,0,"g10604"
"g10605",0,0,0,0,0,"g10605"
"g10606",0,0,0,0,0,"g10606"
"g10607",0,0,0,0,0,"g10607"
"g10608",0,0,0,0,0,"g10608"
"g10609",0,0,0,0,0,"g10609"
"g1061",0,0,0,0,0,"g1061"
"g10610",0,0,0,0,0,"g10610"
"g10611",0,0,0,0,0,"g10611"
"g10612",0,0,0,0,0,"g10612"
"g10613",0,0,0,0,0,"g10613"
"g10614",0,0,0,0,0,"g10614"
"g10615",0,0,0,0,0,"g10615"
"g10616",0,0,0,0,0,"g10616"
