	A	Coef	t	P.value	F	F.p.value	Results	genes
g8511	-1.053562	-1.245711	-0.4360243	0.3334351	4.886605	0.03599508	0	g8511
g8512	7.108531	0.7705161	0	0.9940961	82.57319	1.392492e-09	0	g8512
g8513	1.41185	-4.58045	-6.794517	1.570738e-07	75.55414	3.371024e-09	-1	g8513
g8515	5.010001	-0.144352	0	1	3.536012	0.07120729	0	g8515
g8517	-1.471245	0.2036768	0	0.9931736	0.4520592	0.5072436	0	g8517
g8520	4.937866	0.3505126	0	1	35.25265	2.804327e-06	0	g8520
g8521	7.365352	-0.04570324	0	1	2.557928	0.1217298	0	g8521
g8522	7.674153	0.3264366	0	1	13.99082	0.0009077413	0	g8522
g8523	-0.655646	-1.81053	-3.298808	0.001398979	54.29846	7.587026e-08	-1	g8523
g8524	1.24997	-8.599787	-8.010402	8.221776e-09	82.16393	1.463798e-09	-1	g8524
g8528	3.294701	0.7380318	0	0.9991996	98.31652	2.32687e-10	0	g8528
g8529	4.247396	0.04391805	0	1	0.7231676	0.4028094	0	g8529
g853	3.344373	0.1853504	0	1	10.16094	0.003692212	0	g853
g8530	3.815379	0.1970991	0	1	10.28995	0.00351178	0	g8530
g8531	3.059611	0.5024231	0	0.9374633	2.558961	0.1216579	0	g8531
g8532	0.06817818	-0.2838815	0	0.9999677	3.538369	0.07111881	0	g8532
g8534	0.6883807	-4.942356	-5.995053	1.20821e-06	56.48621	5.308783e-08	-1	g8534
g8535	1.42215	-0.3781126	0	0.9999997	15.6499	0.0005183971	0	g8535
g8537	2.005072	-0.8145111	0	0.7461367	8.696723	0.006626062	0	g8537
g8538	3.634039	-0.4735419	0	0.9999999	42.39702	6.420138e-07	0	g8538
g8539	9.288371	1.190928	1.340505	0.09579316	69.91447	7.182798e-09	0	g8539
g854	6.081385	0.1048795	0	1	3.36124	0.07813005	0	g854
g8540	1.962054	-13.04707	-16.46793	1.238318e-15	318.0835	3.529379e-16	-1	g8540
g8543	1.820158	-0.9511028	0	0.5964131	22.99928	5.654476e-05	0	g8543
g8544	8.411355	-1.078761	-0.2314215	0.4093932	10.04689	0.003860152	0	g8544
g8546	6.702554	-0.5694168	0	1	117.3629	3.547169e-11	0	g8546
g8547	6.265739	0.2589377	0	1	25.58454	2.821582e-05	0	g8547
g8548	4.470338	-0.322814	0	0.9402637	0.5739095	0.4554675	0	g8548
g855	6.53626	-0.3780171	0	1	90.72916	5.345698e-10	0	g855
g8550	7.105994	-0.2389139	0	1	19.2354	0.0001674536	0	g8550
g8553	4.191553	-0.7563942	0	0.9992607	121.5468	2.427446e-11	0	g8553
g8555	1.283321	1.904983	1.408711	0.08539582	8.793157	0.006369628	0	g8555
g8558	0.2459433	4.641642	4.15866	0.0001527757	28.09672	1.486304e-05	1	g8558
g8559	0.7760529	-0.6584318	0	0.9890383	22.06024	7.349878e-05	0	g8559
g8560	6.329008	-0.1744327	0	1	22.84296	5.904566e-05	0	g8560
g8561	5.702869	-0.7957253	0	0.9857011	81.43622	1.600486e-09	0	g8561
g8562	9.15681	-0.1058283	0	1	8.036845	0.008714425	0	g8562
g8563	-1.215167	-1.808764	-2.335829	0.01370914	27.28994	1.819688e-05	0	g8563
g8565	3.864966	-0.2584455	0	1	14.72754	0.0007055697	0	g8565
g8566	1.900171	-1.021435	-0.1549335	0.4390304	54.50931	7.327212e-08	0	g8566
